morphemes	target	prediction	morphemes_predseg	prediction_predseg
Ti_nyenti	AdjPref10_AdjStem	AdjPref10_AdjStem	Ti_nyenti	AdjPref10_AdjStem
tin_hlobo	BPre10_NStem	BPre10_NStem	tin_hlobo	BPre10_NStem
te_ku_lawul_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc10_OC15_VRoot_PassExt_VerbTerm	te_ku_lawul_w_a	PossConc10_OC15_VRoot_PassExt_VerbTerm
kwe_m_klamo	PossConc15_NPre3_NStem	PossConc15_BPre3_NStem	kwe_m_klamo	PossConc15_BPre3_NStem
leti_setjentis_w_a_ko	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_PassExt_VerbTerm_RelSuf	leti_setjentis_w_a_ko	RelConc10_VRoot_PassExt_VerbTerm_RelSuf
ku_lo_m_khakha	LocPre_Dem3_BPre3_NStem	LocPre_Dem3_BPre3_NStem	ku_lo_m_khakha	LocPre_Dem3_BPre3_NStem
we_n_tfutfuko	PossConc9_BPre9_NStem	PossConc3_BPre9_NStem	we_n_tfutfuko	PossConc3_BPre9_NStem
.	Punc	Punc	.	Punc
Loku	Dem15	Dem15	Loku	Dem15
ku_vam_is_e	SC15_VRoot_CausExt_VerbTerm	SC15_VRoot_CausExt_VerbTerm	ku_vam_is_e	SC15_VRoot_CausExt_VerbTerm
kw_ehluka	PossConc15_NStem	BPre15_NStem	kw_ehluk_a	BPre15_VRoot_VerbTerm
ku_leti_n_hlobo	LocPre_Dem10_NPre10_NStem	LocPre_Dem10_NPre10_NStem	ku_letin_hlobo	BPre17_BPre10_NStem
leti_setjentis_w_a	RelConc8_VRoot_PassExt_VerbTerm	RelConc10_VRoot_PassExt_VerbTerm	leti_setjentis_w_a	RelConc10_VRoot_PassExt_VerbTerm
e_ma_bhizinisi_ni	NPrePre6_BPre6_NStem_LocSuf	NPrePre6_BPre6_NStem_LocSuf	e_ma_bhizinis_ini	LocPre_BPre6_NStem_LocSuf
.	Punc	Punc	.	Punc
Nge_n_dlela	AdvPre_BPre9_NStem	AdvPre_BPre9_NStem	Nge_n_dlel_a	AdvPre_BPre9_VRoot_VerbTerm
i_Ningizimu	BPre5_ProperName	BPre9_ProperName	i_Ningizimu	BPre9_ProperName
Afrika	ProperName	ProperName	Afrika	ProperName
y_ent_a	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm	y_ent_a	SC9_VRoot_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9	nga_yo	AdvPre_PronStem9
,	Punc	Punc	,	Punc
a_yi_na_n_dlela	RelConc6_CopPre_NegPre_BPre9_NStem	RelConc6_OC9_AdvPre_BPre9_NStem	a_yinandlel_a	SC6_VRoot_VerbTerm
le_yi_bek_ile	RelConc9_CopPre_VRoot_Perf	RelConc9_OC9_VRoot_Perf	le_yi_bek_ile	RelConc9_OC9_VRoot_Perf
ye_m_khakha	PossConc9_NPre3_NStem	PossConc9_BPre3_NStem	ye_m_khakha	PossConc9_BPre3_NStem
we_m_mango	PossConc3_BPre3_NStem	PossConc3_BPre3_NStem	we_m_mango	PossConc3_BPre3_NStem
le_s_e_zinge_ni	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	le_s_e_zinge_ni	PossConc5_PreLoc-s_LocPre_NStem_LocSuf
leli_tsite	RelConc5_RelStem	RelConc5_RelStem	leli_tsite	RelConc5_RelStem
,	Punc	Punc	,	Punc
ngako-_ke	Adv_Adv	Adv_Adv	ngako__k_e	VRoot_SC1_VRoot_VerbTerm
ku_tawu_ba	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem	ku_tawu_ba	SC15_Fut_AuxVStem
