morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
Zi_ningi	AdjPref10_AdjStem	NStem_NStem	AdjPref10_AdjStem	NStem_NStem
i_zin_hlobo	NPrePre10_BPre10_NStem	NStem_NStem_NStem	NPrePre10_BPre10_NStem	NStem_NStem_NStem
ez_ehluk_en_e	RelConc10_VRoot_RecipExt_Perf_VerbTerm	NStem_NStem_NStem_NStem	RelConc10_VRoot_RecipExt_Perf_VerbTerm	NStem_NStem_NStem_NStem
zo_ku_phath_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_NStem_VRoot	PossConc10_BPre15_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
kwe_phrojekthi	PossConc15_NPrePre5_NStem	NStem_NStem	PossConc15_NPrePre5_NStem	PUNC_PUNC
ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc8_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
e_m_khakhe_ni	LocPre_NPrePre3_BPre3_NStem_LocSuf	NStem_VRoot_NStem_NStem	LocPre_NPrePre3_BPre3_NStem_LocSuf	NStem_NStem_NStem_NStem
we_ze_ntuthuko	PossConc1_PossConc8_BPre9_NStem	VRoot_VRoot_VRoot	PossConc1_PossConc8_BPre9_NStem	VRoot_VRoot_VRoot
.	Punc	PUNC	Punc	PUNC
Lezi	Dem10_Pos1	PUNC	Dem10_Pos1	PUNC
zi_vam_a	SC8_Intrans_VerbTerm	NStem_NStem_NStem	SC8_Intrans_VerbTerm	NStem_NStem_NStem
u_kw_ehluk_a	NPrePre15_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem	NPrePre15_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem
kwe_zi_nye	PossConc15_AdjPref8_AdjStem	NStem_NStem_NStem	PossConc15_AdjPref8_AdjStem	NStem_NStem_NStem
i_zin_dlel_a	NPrePre10_BPre10_NStem	NStem_NStem_NStem_NStem	NPrePre10_BPre10_NStem	NStem_NStem_NStem_NStem
ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc8_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
e_m_khakhe_ni	LocPre_NPrePre3_BPre3_NStem_LocSuf	NStem_NStem_NStem_NStem	LocPre_NPrePre3_BPre3_NStem_LocSuf	NStem_NStem_NStem_NStem
o_hlangen_e	BPre2a_NStem	NStem_NStem_NStem	BPre2a_NStem	NStem_NStem_NStem
.	Punc	PUNC	Punc	PUNC
Ku_m_qondosizinda	BPre17_NStem	VRoot_VRoot_VRoot	BPre17_NStem	VRoot_VRoot_VRoot
(	Punc	PUNC	Punc	Conj
conte_xt	Foreign	NStem_NStem	Foreign	NStem_NStem
)	Punc	Conj	Punc	Conj
wa_s_e_Ningizimu	PossConc3_PreLoc-s_LocPre_NPrePre5_BPre5_ProperName	PUNC_PUNC_PUNC_PUNC	PossConc3_PreLoc-s_LocPre_NPrePre5_BPre5_ProperName	VRoot_VRoot_VRoot_VRoot
Afrika	ProperName	Conj	ProperName	Conj
a_yi_kho	NegPre_CopPre_Adv	NStem_NStem_NStem	NegPre_CopPre_Adv	NStem_NStem_NStem
i_n_dlel_a	NPrePre9_BPre9_NStem	NStem_NStem_NStem_NStem	NPrePre9_BPre9_NStem	NStem_NStem_NStem_NStem
e_yo_dwa	RelConc9_QuantConc9_QuantStem	NStem_NStem_NStem	RelConc9_QuantConc9_QuantStem	NStem_NStem_NStem
e_gunyaz_iw_e	RelConc9_VRoot_PassExt_VerbTerm	VRoot_VRoot_NStem_VRoot	RelConc9_VRoot_PassExt_VerbTerm	NStem_NStem_NStem_NStem
yo_m_khakha	PossConc9_NPrePre3_BPre3_NStem	NStem_NStem_NStem	PossConc9_NPrePre3_BPre3_NStem	NStem_NStem_NStem
wo_m_phakathi	PossConc3_NPrePre3_BPre3_NStem	NStem_NStem_NStem	PossConc3_NPrePre3_BPre3_NStem	NStem_NStem_NStem
futh_i	Conj	NStem_NStem	Conj	NStem_NStem
ku_yo_hlal_a	SC15_Fut_VRoot_VerbTerm	NStem_NStem_NStem_NStem	SC15_Fut_VRoot_VerbTerm	NStem_NStem_NStem_NStem
ku_no_mehluko	LocPre_AdvPre_NStem	NStem_NStem_NStem	LocPre_AdvPre_NStem	NStem_NStem_NStem
phakathi	Adv	PUNC	Adv	PUNC
kwe_zin_dlel_a	PossConc15_NPrePre10_BPre10_NStem	NStem_VRoot_NStem_VRoot	PossConc15_NPrePre10_BPre10_NStem	NStem_VRoot_NStem_NStem
ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc8_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
e_mi_nyangw_eni	LocPre_BPre4_NStem_LocSuf	VRoot_VRoot_VRoot_VRoot	LocPre_BPre4_NStem_LocSuf	VRoot_VRoot_VRoot_VRoot
e_ye_hluk_en_e	RelConc4_OC4_VRoot_RecipExt_Perf_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc4_OC4_VRoot_RecipExt_Perf_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
ka_hulumeni	PossKA_NPrePre1a_NStem	NStem_NStem	PossKA_NPrePre1a_NStem	NStem_NStem
.	Punc	PUNC	Punc	PUNC
A_ma_lungu	NPrePre6_BPre6_NStem	NStem_NStem_NStem	NPrePre6_BPre6_NStem	NStem_NStem_NStem
e_Komidi	LocPre_NStem	NStem_NStem	LocPre_NStem	NStem_NStem
Le_sigceme	Dem9_Pos1_NStem	NStem_NStem	Dem9_Pos1_NStem	NStem_NStem
ku_mel_e	SC15_VRoot_VerbTerm	NStem_NStem_NStem	SC15_VRoot_VerbTerm	NStem_NStem_NStem
a_z_i	SC6_VRoot_VerbTerm	NStem_NStem_NStem	SC6_VRoot_VerbTerm	PUNC_PUNC_PUNC
ngo_Ku_phath_w_a	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
K_om_jikelezo	PossConc15_NPrePre3_NStem	NStem_NStem_NStem	PossConc15_NPrePre3_NStem	NStem_NStem_NStem
We_phrojekthi	PossConc1_NPrePre5_NStem	NStem_NStem	PossConc1_NPrePre5_NStem	NStem_NStem
(	Punc	Conj	Punc	Conj
Project	Foreign	Conj	Foreign	Conj
