morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
Ku_kho	CopPre_Adv	LocPre_PronStem17	CopPre_Adv	AdjPref15_PronStem17
i_in_tlobo	NPrePre10_BPre10_NStem	NPrePre9_BPre9_NStem	NPrePre10_BPre10_NStem	NPrePre9_BPre9_NStem
ezi_ninzi	AdjPref8_AdjStem	RelConc8_NStem	AdjPref8_AdjStem	RelConc8_NStem
zo_lawulo	PossConc10_NPrePre11_BPre11_NStem	NPre2a_NStem	PossConc10_NPrePre11_BPre11_NStem	PossConc9_NStem
lwe_e_projekthi	PossConc11_NPrePre10_BPre10_NStem	PossConc11_LocPre_NStem	PossConc11_NPrePre10_BPre10_NStem	PossConc11_LocPre_NStem
ezi_setyenz_is_w_a_yo	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf
kw_i_candelo	LocPre_NPrePre5_BPre5_NStem	PossConc15_NPre9_NStem	LocPre_NPrePre5_BPre5_NStem	PossConc15_NPrePre4_NStem
lo_phuhliso	PossConc5_NPrePre11_BPre11_NStem	RelConc3_NStem	PossConc5_NPrePre11_BPre11_NStem	RelConc3_NStem
.	Punc	PUNC	Punc	PUNC
Ezi	Dem10_Pos1	ProperName	Dem10_Pos1	CDEM07
n_tlobo	BPre9_NStem	NPre9_NStem	BPre9_NStem	BPre9_NStem
ke	Conj	Adv	Conj	Adv
zi_kholis_a	SC10_VRoot_VerbTerm	SC2pp_Intrans_VerbTerm	SC10_VRoot_VerbTerm	SC2pp_VRoot_VerbTerm
u_kw_ahluk_a	NPrePre15_SC15_Intrans_VerbTerm	SC3_OC15_VRoot_VerbTerm	NPrePre15_SC15_Intrans_VerbTerm	SC2ps_OC15_VRoot_VerbTerm
kw_ezo	PossConc15_Dem10_Pos2	BPre15_NStem	PossConc15_Dem10_Pos2	BPre15_NStem
