morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
Ku_kho	CopPre_Adv	CopPre_Adv	CopPre_Adv	NStem_NStem
i_in_tlobo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	NStem_NStem_NStem
ezi_ninzi	AdjPref8_AdjStem	AdjPref8_AdjStem	AdjPref8_AdjStem	NStem_NStem
zo_lawulo	PossConc10_NPrePre11_BPre11_NStem	PossConc10_BPre11	PossConc10_NPrePre11_BPre11_NStem	NStem_NStem
lwe_e_projekthi	PossConc11_NPrePre10_BPre10_NStem	PossConc11_NPrePre9_NStem	PossConc11_NPrePre10_BPre10_NStem	NStem_NStem_VRoot
ezi_setyenz_is_w_a_yo	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	NStem_VRoot_VRoot_VRoot_VRoot_VRoot
kw_i_candelo	LocPre_NPrePre5_BPre5_NStem	LocPre_NPrePre5_BPre5	LocPre_NPrePre5_BPre5_NStem	NStem_NStem_NStem
lo_phuhliso	PossConc5_NPrePre11_BPre11_NStem	PossConc11_BPre11	PossConc5_NPrePre11_BPre11_NStem	NStem_NStem
.	Punc	PUNC	Punc	PUNC
Ezi	Dem10_Pos1	CDEM10	Dem10_Pos1	NStem
n_tlobo	BPre9_NStem	BPre9_NStem	BPre9_NStem	NStem_NStem
ke	Conj	Conj	Conj	PUNC
zi_kholis_a	SC10_VRoot_VerbTerm	SC10_VRoot_VerbTerm	SC10_VRoot_VerbTerm	PUNC_PUNC_PUNC
u_kw_ahluk_a	NPrePre15_SC15_Intrans_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_SC15_Intrans_VerbTerm	NStem_NStem_NStem_VRoot
kw_ezo	PossConc15_Dem10_Pos2	LocPre_CDEM10	PossConc15_Dem10_Pos2	PUNC_PUNC
zi_setyenz_is_w_a	SC10_VRoot_CausExt_PassExt_VerbTerm	SC10_VRoot_CausExt_PassExt_VerbTerm	SC10_VRoot_CausExt_PassExt_VerbTerm	PUNC_PUNC_PUNC_NStem_PUNC
ku_ma_candelo	LocPre_NPrePre6_BPre6_NStem	LocPre_BPre6_NStem	LocPre_NPrePre6_BPre6_NStem	NStem_NStem_NStem
o_shishino	PossConc6_NStem	PossConc6_BPre11	PossConc6_NStem	NStem_NStem
.	Punc	PUNC	Punc	PUNC
Ng_okwa_lapha	AdvPre_AdvPre_Adv	AdvPre_AdvPre_Adv	AdvPre_AdvPre_Adv	NStem_NStem_NStem
e_Mzantsi	LocPre_ProperName	LocPre_ProperName	LocPre_ProperName	NStem_NStem
Afrika	ProperName	ProperName	ProperName	PUNC
a_ku_kho	NegPre_CopPre_Adv	NegPre_CopPre_Adv	NegPre_CopPre_Adv	PUNC_PUNC_PUNC
si_khokelo	BPre7_NStem	BPre7_NStem	BPre7_NStem	NStem_NStem
sa_kwa_rhulumente	PossConc7_LocPre_NStem	PossConc7_PossConc15_NStem	PossConc7_LocPre_NStem	NStem_NStem_NStem
si_lungisel_el_w_e	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot
u_kuba	Conj	SC3_Conj	Conj	PUNC_PUNC
si_setyenz_is_w_e	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	NStem_NStem_VRoot_VRoot_VRoot
ng_oku_fan_a_yo	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	NStem_NStem_NStem_NStem_NStem
kw_eli	LocPre_Dem5_Pos1	PossConc15_CDEM05	LocPre_Dem5_Pos1	PUNC_PUNC
candelo	NStem	NStem	NStem	PUNC
;	Punc	PUNC	Punc	PUNC
i_n_to	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NStem_NStem_NStem
ke	Conj	Conj	Conj	PUNC
leyo	Dem9_Pos2	CDEM09	Dem9_Pos2	NStem
e_theth_a	RelConc9_VRoot_VerbTerm	SC6_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm	NStem_NStem_NStem
u_kuba	Conj	Conj_Conj	Conj	NStem_NStem
u_ya	SC2ps_Fut	SC1_Fut	SC2ps_Fut	PUNC_PUNC
ku_hlal_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	NStem_NStem_NStem
u_ba_khona	CopPre_CopPre_Adv	CopPre_BPre2_Adv	CopPre_CopPre_Adv	NStem_NStem_NStem
u_mahluko	NPrePre1a_NStem	NPrePre1a_NStem	NPrePre1a_NStem	NStem_NStem
kw_i_zi_khokelo	LocPre_NPrePre8_BPre8_NStem	LocPre_NPrePre8_BPre8_NStem	LocPre_NPrePre8_BPre8_NStem	NStem_NStem_NStem_NStem
ezi_setyenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	NStem_VRoot_NStem_NStem_NStem
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	NStem_NStem_NStem
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	NStem_NStem_NStem
nga_ma_sebe	AdvPre_NPrePre6_BPre6_NStem	AdvPre_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	NStem_NStem_NStem
ka_rhulumente	PossKA_NPrePre1a_NStem	PossKA_NStem	PossKA_NPrePre1a_NStem	NStem_NStem
.	Punc	PUNC	Punc	PUNC
A_ma_lungu	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NStem_NStem_NStem
e_e_komiti	PossConc6_NPrePre10_BPre10_NStem	PossConc6_PossConc6_NStem	PossConc6_NPrePre10_BPre10_NStem	NStem_NStem_NStem
ze_e_wadi	PossConc10_NPrePre10_BPre10_NStem	PossConc10_LocPre_NStem	PossConc10_NPrePre10_BPre10_NStem	NStem_NStem_NStem
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	NStem_NStem_NStem
a_be	CopPre_Cop	CopPre_Cop	CopPre_Cop	NStem_PUNC
