morphemes	target	prediction	morphemes_predseg	prediction_predseg
Ku_kho	CopPre_Adv	CopPre_Adv	Ku_kho	CopPre_Adv
i_in_tlobo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_in_tlobo	NPrePre10_BPre10_NStem
ezi_ninzi	AdjPref8_AdjStem	AdjPref10_AdjStem	ezi_ninzi	AdjPref10_AdjStem
zo_lawulo	PossConc10_NStem	PossConc10_NStem	zo_lawulo	PossConc10_NStem
lwe_e_projekthi	PossConc11_NPrePre10_NStem	PossConc11_NPrePre10_NStem	lwe_e_projekthi	PossConc11_NPrePre10_NStem
ezi_setyenz_is_w_a_yo	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	ezi_setyenz_is_w_a_yo	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf
kw_i_candelo	LocPre_NPrePre5_NStem	LocPre_NPrePre5_NStem	kw_i_candelo	LocPre_NPrePre5_NStem
lo_phuhliso	PossConc5_NStem	PossConc5_NStem	lo_phuhliso	PossConc5_NStem
.	Punc	Punc	.	Punc
Ezi	Dem10	Dem10	Ezi	Dem10
n_tlobo	BPre9_NStem	BPre9_NStem	n_tlobo	BPre9_NStem
ke	Conj	Conj	ke	Conj
zi_kholis_a	SC10_VRoot_VerbTerm	SC10_VRoot_VerbTerm	zi_kholis_a	SC10_VRoot_VerbTerm
u_kw_ahluk_a	NPrePre15_SC15_Intrans_VerbTerm	NPrePre15_BPre15_Intrans_VerbTerm	u_kw_ahluk_a	NPrePre15_BPre15_Intrans_VerbTerm
kw_ezo	PossConc15_Dem10	LocPre_Dem8	kw_ezo	LocPre_Dem8
zi_setyenz_is_w_a	SC10_VRoot_CausExt_PassExt_VerbTerm	SC8_VRoot_CausExt_PassExt_VerbTerm	zi_setyenz_is_w_a	SC8_VRoot_CausExt_PassExt_VerbTerm
ku_ma_candelo	LocPre_BPre6_NStem	LocPre_BPre6_NStem	ku_ma_candelo	LocPre_BPre6_NStem
o_shishino	PossConc6_NStem	RelConc6_NStem	o_shishino	RelConc6_NStem
.	Punc	Punc	.	Punc
Ng_okwa_lapha	AdvPre_AdvPre_Adv	AdvPre_AdvPre_Adv	Ng_okwa_lapha	AdvPre_AdvPre_Adv
e_Mzantsi	LocPre_ProperName	LocPre_ProperName	e_Mzantsi	LocPre_ProperName
Afrika	ProperName	ProperName	Afrika	ProperName
a_ku_kho	NegPre_CopPre_Adv	NegPre_CopPre_Adv	a_ku_kho	NegPre_CopPre_Adv
si_khokelo	BPre7_NStem	BPre7_NStem	si_khokelo	BPre7_NStem
sa_kwa_rhulumente	PossConc7_LocPre_NStem	PossConc7_PossConc15_NStem	sa_kwa_rhulumente	PossConc7_PossConc15_NStem
si_lungis_el_el_w_e	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	SC7_VRoot_ApplExt_ApplExt_PassExt_VerbTerm	si_lungisel_el_w_e	SC7_VRoot_ApplExt_PassExt_VerbTerm
ukuba	Conj	Conj	u_kuba	NPre15_Conj
si_setyenz_is_w_e	SC7_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm	si_setyenz_is_w_e	SC7_VRoot_CausExt_PassExt_VerbTerm
ng_oku_fan_a_yo	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf	ng_oku_fan_a_yo	AdvPre_RelConc15_VRoot_VerbTerm_RelSuf
kw_eli	LocPre_Dem5	PossConc15_Dem5	kw_eli	PossConc15_Dem5
candelo	NStem	NStem	candelo	NStem
;	Punc	Punc	;	Punc
i_n_to	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_to	NPrePre9_BPre9_NStem
ke	Conj	Conj	ke	Conj
leyo	Dem9	Dem9	leyo	Dem9
e_theth_a	RelConc9_VRoot_VerbTerm	SC1_VRoot_VerbTerm	e_theth_a	SC1_VRoot_VerbTerm
ukuba	Conj	Conj	u_kuba	SC15_Conj
u_ya	SC_Fut	SC1_Fut	u_ya	SC1_Fut
ku_hlal_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_hlal_a	SC15_VRoot_VerbTerm
u_ba_khona	CopPre_CopPre_Adv	CopPre_CopPre_Adv	u_ba_khona	CopPre_CopPre_Adv
u_mahluko	NPrePre1a_NStem	NPrePre1a_NStem	u_mahluko	NPrePre1a_NStem
kw_i_zi_khokelo	LocPre_NPrePre8_BPre8_NStem	LocPre_NPrePre8_BPre8_NStem	kw_i_zi_khokelo	LocPre_NPrePre8_BPre8_NStem
ezi_setyenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	ezi_setyenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm
nga_ma_sebe	AdvPre_BPre6_NStem	AdvPre_BPre6_NStem	nga_ma_sebe	AdvPre_BPre6_NStem
nga_ma_sebe	AdvPre_BPre6_NStem	AdvPre_BPre6_NStem	nga_ma_sebe	AdvPre_BPre6_NStem
nga_ma_sebe	AdvPre_BPre6_NStem	AdvPre_BPre6_NStem	nga_ma_sebe	AdvPre_BPre6_NStem
ka_rhulumente	PossKA_NStem	PossKA_NStem	ka_rhulumente	PossKA_NStem
.	Punc	Punc	.	Punc
A_ma_lungu	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	A_ma_lungu	NPrePre6_BPre6_NStem
e_e_komiti	PossConc6_NPrePre10_NStem	PossConc6_NPrePre10_NStem	e_e_komiti	PossConc6_NPrePre10_NStem
ze_e_wadi	PossConc10_NPrePre10_NStem	PossConc10_NPrePre10_NStem	ze_e_wadi	PossConc10_NPrePre10_NStem
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_funek_a	SC15_VRoot_VerbTerm
a_be	CopPre_Cop	CopPre_Cop	a_be	CopPre_Cop
no_lw_azi	AdvPre_BPre11_NStem	AdvPre_BPre11_NStem	no_lw_az_i	AdvPre_BPre11_VRoot_VerbTerm
nge_Project	AdvPre_Foreign	AdvPre_Foreign	nge_Project	AdvPre_Foreign
Cycle	Foreign	Foreign	Cycle	Foreign
Management	Foreign	Foreign	Management	Foreign
(	Punc	Punc	(	Punc
PCM	Abbr	Abbr	PC_M	Foreign_BPre3
)	Punc	Punc	)	Punc
,	Punc	Punc	,	Punc
u_Lawulo	NPrePre11_NStem	NPrePre11_NStem	u_Lawulo	NPrePre11_NStem
lo_M_jikelo	PossConc11_BPre3_NStem	PossConc11_BPre3_NStem	lo_M_jikelo	PossConc11_BPre3_NStem
we_Projekthi	PossConc3_NStem	PossConc3_NStem	we_Projekthi	PossConc3_NStem
,	Punc	Punc	,	Punc
njeng_oko	AdvPre_Dem15	AdvPre_Dem15	njeng_oko	AdvPre_Dem15
i_se_so_na	NPrePre9_SC7_PronStem7_PronSuf	SC9_Pro_PronStem7_PronSuf	i_s_e_so_na	SC9_PreLoc-s_SC7_PronStem7_PronSuf
si_khokelo	BPre7_NStem	BPre7_NStem	si_khokelo	BPre7_NStem
si_kholis_e	SC7_VRoot_VerbTerm	SC7_VRoot_VerbTerm	si_kholis_e	SC7_VRoot_VerbTerm
ka_khulu	AdvPre_AdjStem	AdvPre_AdjStem	ka_khulu	AdvPre_AdjStem
