morphemes	target	prediction	morphemes_predseg	prediction_predseg
Zin_ingi	AdjPref10_AdjStem	BPre10_AdjStem	Zi_ningi	AdjPref10_AdjStem
i_zin_hlobo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_zin_hlobo	NPrePre10_BPre10_NStem
ez_ehluk_en_e	RelConc10_VRoot_RecipExt_VerbTerm	RelConc8_VRoot_RecipExt_VerbTerm	ez_ehluk_en_e	RelConc8_VRoot_RecipExt_VerbTerm
zo_ku_phath_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc10_BPre15_VRoot_PassExt_VerbTerm	zo_ku_phath_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm
kwe_phrojekthi	PossConc15_NStem	PossConc15_NStem	kwe_phrojekthi	PossConc15_NStem
ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm
e_m_khakhe_ni	LocPre_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf	e_m_khakhe_ni	LocPre_BPre3_NStem_LocSuf
we_ze_n_tuthuko	PossConc1_PossConc8_BPre9_NStem	PossConc3_PossConc8_BPre9_NStem	we_ze_ntuthuko	PossConc1_PossConc8_NStem
.	Punc	Punc	.	Punc
Lezi	Dem10	Dem10	Lezi	Dem10
zi_vam_a	SC8_Intrans_VerbTerm	SC8_VRoot_VerbTerm	zi_vam_a	SC8_VRoot_VerbTerm
u_kw_ehluk_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_kw_ehluk_a	NPrePre15_BPre15_VRoot_VerbTerm
kw_ezi_nye	PossConc15_AdjPref8_AdjStem	PossConc15_AdjPref8_AdjStem	kwe_zi_nye	PossConc15_BPre8_AdjStem
i_zin_dlela	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_zin_dlel_a	NPrePre10_BPre10_VRoot_VerbTerm
ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc10_VRoot_CausExt_PassExt_VerbTerm	ezi_setshenz_is_w_a	RelConc10_VRoot_CausExt_PassExt_VerbTerm
e_m_khakhe_ni	LocPre_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf	e_m_khakhe_ni	LocPre_BPre3_NStem_LocSuf
o_hlangene	BPre2a_NStem	NPrePre2a_NStem	o_hlangen_e	RelConc3_VRoot_VerbTerm
.	Punc	Punc	.	Punc
Ku_mqondosizinda	BPre17_NStem	BPre17_NStem	Ku_m_qondosizinda	LocPre_BPre1_NStem
(	Punc	Punc	(	Punc
context	Foreign	Foreign	conte_xt	Foreign_Foreign
)	Punc	Punc	)	Punc
wa_s_e_Ningizimu	PossConc3_PreLoc-s_LocPre_ProperName	PossConc3_PreLoc-s_LocPre_ProperName	wa_s_e_Ningizimu	PossConc3_PreLoc-s_LocPre_ProperName
Afrika	ProperName	ProperName	Afrika	ProperName
a_yi_kho	NegPre_CopPre_Adv	NegPre_CopPre_Adv	a_yi_kho	NegPre_CopPre_Adv
i_n_dlela	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_dlel_a	SC9_BPre9_VRoot_VerbTerm
e_yo_dwa	RelConc9_QuantConc9_QuantStem	RelConc9_QuantConc9_QuantStem	e_yo_dwa	RelConc9_QuantConc9_QuantStem
e_gunyaz_iw_e	RelConc9_VRoot_PassExt_VerbTerm	RelConc9_VRoot_PassExt_VerbTerm	e_gunyaz_iw_e	RelConc9_VRoot_PassExt_VerbTerm
yo_m_khakha	PossConc9_BPre3_NStem	PossConc9_BPre3_NStem	yo_m_khakha	PossConc9_BPre3_NStem
wo_m_phakathi	PossConc3_BPre3_NStem	PossConc3_BPre3_Adv	wo_m_phakathi	PossConc3_BPre3_NStem
futhi	Conj	Conj	futh_i	VRoot_VerbTerm
ku_yo_hlal_a	SC15_Fut_VRoot_VerbTerm	SC15_Fut_VRoot_VerbTerm	ku_yo_hlal_a	SC15_Fut_VRoot_VerbTerm
ku_no_mehluko	LocPre_AdvPre_NStem	LocPre_AdvPre_NStem	ku_no_mehluko	LocPre_AdvPre_NStem
phakathi	Adv	Adv	phakathi	Adv
kwe_zin_dlela	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem	kwe_zin_dlel_a	PossConc15_BPre10_Intrans_VerbTerm
ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	ezi_setshenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm
e_mi_nyangw_eni	LocPre_BPre4_NStem_LocSuf	LocPre_BPre4_NStem_LocSuf	e_mi_nyangw_eni	LocPre_BPre4_NStem_LocSuf
e_y_ehluk_en_e	RelConc4_OC4_VRoot_RecipExt_VerbTerm	RelConc4_OC4_VRoot_RecipExt_VerbTerm	e_ye_hluk_en_e	RelConc4_CopPre_VRoot_RecipExt_VerbTerm
ka_hulumeni	PossKA_NStem	PossKA_NStem	ka_hulumeni	PossKA_NStem
.	Punc	Punc	.	Punc
A_ma_lungu	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	A_ma_lungu	NPrePre6_BPre6_NStem
e_Komidi	LocPre_NStem	LocPre_NStem	e_Komidi	LocPre_NStem
Le_sigceme	Dem9_NStem	Dem9_NStem	Le_sigceme	Dem9_NStem
ku_mel_e	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_mel_e	SC15_VRoot_VerbTerm
a_z_i	SC6_VRoot_VerbTerm	SC6_VRoot_VerbTerm	a_z_i	SC6_VRoot_VerbTerm
ngo_Ku_phath_w_a	AdvPre_BPre15_VRoot_PassExt_VerbTerm	AdvPre_BPre15_VRoot_PassExt_VerbTerm	ngo_Ku_phath_w_a	AdvPre_BPre15_VRoot_PassExt_VerbTerm
Kom_jikelezo	PossConc15_NStem	PossConc15_NStem	K_om_jikelezo	LocPre_BPre1_NStem
We_phrojekthi	PossConc1_NStem	PossConc3_NStem	We_phrojekthi	PossConc3_NStem
(	Punc	Punc	(	Punc
Project	Foreign	Foreign	Project	Foreign
Cycle	Foreign	Abbr	Cycl_e	VRoot_VerbTerm
Management	Foreign	Foreign	Mana_ge_ment	Conj_NPrePre9_NStem
(	Punc	Punc	(	Punc
PCM	Abbr	Abbr	PC_M	VRoot_Abbr
)	Punc	Punc	)	Punc
njengoba	Conj	Conj	njengoba	Conj
ku_y_i_n_dlela	LocPre_CopPre_NPrePre9_BPre9_NStem	BPre15_CopPre_NPrePre9_BPre9_NStem	ku_y_i_n_dlel_a	SC15_VRoot_NPrePre9_BPre9_VRoot_VerbTerm
e_vam_a	RelConc9_Intrans_VerbTerm	RelConc9_VRoot_VerbTerm	e_vam_a	RelConc9_VRoot_VerbTerm
u_ku_setshenz_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	u_ku_setshenz_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
ka_khulu	AdvPre_AdjStem	AdvPre_AdjStem	ka_khulu	AdvPre_AdjStem
.	Punc	Punc	.	Punc
U_kw_ehlukan_is_w_a	SC15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	U_kw_ehlukan_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
no_ku_biz_w_a	AdvPre_BPre15_VRoot_PassExt_VerbTerm	AdvPre_BPre15_VRoot_PassExt_VerbTerm	no_ku_biz_w_a	AdvPre_BPre15_VRoot_PassExt_VerbTerm
nga_ma_gama	AdvPre_BPre6_NStem	AdvPre_BPre6_NStem	nga_ma_gama	AdvPre_BPre6_NStem
kwe_zi_gaba	PossConc15_BPre8_NStem	PossConc15_BPre8_NStem	kwe_zi_gaba	PossConc15_BPre8_NStem
noma	Conj	Conj	noma	Conj
i_mi_khakha	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_khakha	NPrePre4_BPre4_NStem
yo_m_jikelezo	PossConc9_BPre3_NStem	PossConc4_BPre3_NStem	yo_m_jikelezo	PossConc4_BPre3_NStem
we_phrojekthi	PossConc1_NStem	PossConc3_NStem	we_phrojekthi	PossConc3_NStem
ku_nga_hluk_a	BPre15_AdvPre_VRoot_VerbTerm	SC15_AdvPre_VRoot_VerbTerm	ku_nga_hluk_a	SC15_AdvPre_VRoot_VerbTerm
ku_ye	LocPre_PronStem1	LocPre_PronStem1	ku_ye	LocPre_PronStem1
ngo_kwe_n_hlangano	AdvPre_PossConc9_BPre9_NStem	AdvPre_PossConc15_BPre9_NStem	ngo_kwe_n_hlangano	AdvPre_PossConc15_BPre9_NStem
noma	Conj	Conj	noma	Conj
u_m_nyango	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	u_m_nyango	NPrePre3_BPre3_NStem
ka_hulumeni	PossKA_NStem	PossKA_NStem	ka_hulumeni	PossKA_NStem
o_yi_khokhela_yo	RelConc3_CopPre_NStem_RelSuf	RelConc3_CopPre_NStem_RelSuf	o_yi_khokhel_a_yo	RelConc1_SC4_VRoot_VerbTerm_RelSuf
.	Punc	Punc	.	Punc
Kungabe	Conj	Conj	Ku_ngabe	NPre17_Conj
a_ba_ntu	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	aba_ntu	RelConc2_NStem
be_si_fazane	PossConc2_BPre7_NStem	PossConc2_BPre7_NStem	be_si_fazane	PossConc2_BPre7_NStem
ba_bhek_an_a	SC2_VRoot_RecipExt_VerbTerm	PossConc2_VRoot_RecipExt_VerbTerm	ba_bhek_an_a	PossConc2_VRoot_RecipExt_VerbTerm
ne_zi_ngqinamba	AdvPre_BPre10_NStem	AdvPre_BPre8_NStem	ne_zin_gqinamb_a	AdvPre_BPre10_VRoot_VerbTerm
