morphemes	target	prediction	target_canon	prediction_canon
ti_nyenti	AdjPref10_AdjStem	AdjPref10_AdjStem	AdjPref10_AdjStem	AdjPref10_AdjStem
tin_hlobo	BPre10_NStem	BPre10_NStem	BPre10_NStem	BPre10_NStem
ta_ku_lawul_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc8_OC15_VRoot_PassExt_VerbTerm	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc8_OC15_VRoot_PassExt_VerbTerm
kwe_m_klamo	PossConc15_NPre3_NStem	PossConc15_NPre3_NStem	PossConc15_NPre3_NStem	PossConc15_NPre3_NStem
leti_setjentis_w_a_ko	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_PassExt_VerbTerm_RelSuf	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_PassExt_VerbTerm_RelSuf
ku_lo_m_khakha	LocPre_Dem3_Pos1_BPre3_NStem	LocPre_Pos1_BPre3	LocPre_Dem3_Pos1_BPre3_NStem	LocPre_Pos1_BPre3
we_n_tfutfuko	PossConc9_BPre9_NStem	PossConc3_BPre3_NStem	PossConc9_BPre9_NStem	PossConc3_BPre9_NStem
.	Punc	Punc	Punc	Punc
loku	Dem15_Pos1		Dem15_Pos1	
ku_vam_is_e	SC15_VRoot_CausExt_VerbTerm	SC15_VRoot_CausExt_VerbTerm	SC15_VRoot_CausExt_VerbTerm	SC15_VRoot_CausExt_VerbTerm
kwa_ehluka	PossConc15_NStem	PossConc15_NStem	PossConc15_NStem	BPre15_VRoot_VerbTerm
ku_leti_n_hlobo	LocPre_Dem10_Pos1_NPre10_NStem	LocPre_Pos1_NPre10	LocPre_Dem10_Pos1_NPre10_NStem	LocPre_Pos1_NPre10
leti_setjentis_w_a	RelConc8_VRoot_PassExt_VerbTerm	RelConc10_VRoot_PassExt_VerbTerm	RelConc8_VRoot_PassExt_VerbTerm	RelConc10_VRoot_PassExt_VerbTerm
e_ma_bhizinisi_ini	NPrePre6_BPre6_NStem_LocSuf	LocPre_BPre6_NStem_LocSuf	NPrePre6_BPre6_NStem_LocSuf	NPrePre6_BPre6_NStem
.	Punc	Punc	Punc	Punc
nga_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem	AdvPre_NPrePre9_BPre9_NStem	AdvPre_NPrePre9_BPre9_NStem	AdvPre_NPrePre9_BPre9_NStem
i_Ningizimu	BPre5_ProperName	BPre9_ProperName	BPre5_ProperName	BPre9_NStem
Afrika	ProperName	ProperName	ProperName	Conj
i_ent_a	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9	AdvPre_PronStem9	AdvPre_PronStem9
,	Punc	Punc	Punc	Punc
a_yi_na_n_dlela	RelConc6_CopPre_NegPre_BPre9_NStem	RelConc6_CopPre_AdvPre_BPre9_NStem	RelConc6_CopPre_NegPre_BPre9_NStem	RelConc6_CopPre_NStem
le_yi_bek_ile	RelConc9_CopPre_VRoot_Perf	RelConc9_OC9_VRoot_Perf	RelConc9_CopPre_VRoot_Perf	RelConc9_OC9_VRoot_Perf
ye_um_khakha	PossConc9_NPre3_NStem	PossConc4_NPre4_NStem	PossConc9_NPre3_NStem	PossConc9_BPre3_NStem
wa_u_mu_mango	PossConc3_NPrePre3_BPre3_NStem	PossConc3_NPrePre3_BPre3_NStem	PossConc3_NPrePre3_BPre3_NStem	PossConc3_NPrePre3_BPre3_NStem
le_s_e_zinga_ini	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	PossConc5_PreLoc-s_LocPre_NStem_LocSuf
leli_tsite	RelConc5_RelStem	RelConc5_RelStem	RelConc5_RelStem	RelConc5_RelStem
,	Punc	Punc	Punc	Punc
ngako_ke	Adv_Adv	Adv_Adv	Adv_Adv	Adv_Adv
ku_tawu_ba	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem	SC15_Fut_AuxVStem
ne_ku_ehlukahluk_an_a	AdvPre_BPre15_VRoot_RecipExt_VerbTerm	AdvPre_BPre15_VRoot_RecipExt_VerbTerm	AdvPre_BPre15_VRoot_RecipExt_VerbTerm	AdvPre_BPre15_VRoot_RecipExt_VerbTerm
e_m_khatsi_ini	LocPre_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf	LocPre_BPre3_NStem_LocSuf
kwe_tin_dlela	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem
leti_setjentis_w_a_ko	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_PassExt_VerbTerm_RelSuf	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_PassExt_VerbTerm_RelSuf
ku_ma_tiko	LocPre_NPre6_NStem	LocPre_BPre6_NStem	LocPre_NPre6_NStem	LocPre_NPre6_NStem
la_hlukahluk_en_e	PossConc5_VRoot_RecipExt_VerbTerm	RelConc5_VRoot_RecipExt_VerbTerm	PossConc5_VRoot_RecipExt_VerbTerm	RelConc5_VRoot_RecipExt_Perf
a_hulumende	RelConc6_NStem	PossConc6_NStem	RelConc6_NStem	RelConc6_NStem
.	Punc	Punc	Punc	Punc
e_ma_lunga	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
e_ikomidi	PossConc6_NStem	NPre6_NStem	PossConc6_NStem	PossConc6_BPre5_NStem
le_wadi	PossConc5_NStem	PossConc5_NStem	PossConc5_NStem	PossConc5_NStem
ku_fanel_e	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm
a_ku_jwayel_e	SC6_OC15_VRoot_VerbTerm	SC6_OC15_VRoot_VerbTerm	SC6_OC15_VRoot_VerbTerm	SC6_OC15_VRoot_VerbTerm
ku_lawul_w_a	SC15_VRoot_PassExt_VerbTerm	BPre15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm	BPre15_VRoot_PassExt_VerbTerm
kwe_m_klamo	PossConc15_NPre3_NStem	PossConc15_NPre3_NStem	PossConc15_NPre3_NStem	PossConc15_NPre3_NStem
we_m_jikeleto	PossConc3_BPre3_NStem	PossConc1_BPre3_NStem	PossConc3_BPre3_NStem	PossConc3_BPre3_NStem
(	Punc	Punc	Punc	Punc
PCM	Abbr	Abbr	Abbr	Abbr
)	Punc	Punc	Punc	Punc
njengo_ba	AdvPre_AuxVStem	AdvPre_AuxVStem	AdvPre_AuxVStem	Conj
ku_ngi_yo	AdvPre_CopPre_PronStem9	BPre15_CopPre_PronStem9	AdvPre_CopPre_PronStem9	BPre15_CopPre_PronStem9
i_n_dlela	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
le_vam_is_e	RelConc9_VRoot_CausExt_VerbTerm	RelConc4_VRoot_CausExt_VerbTerm	RelConc9_VRoot_CausExt_VerbTerm	RelConc4_VRoot_CausExt_VerbTerm
ku_setjentis_w_a	SC15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm
ka_khulu	AdvPre_AdjStem	AdvPre_AdjStem	AdvPre_AdjStem	AdvPre_AdjStem
.	Punc	Punc	Punc	Punc
loku_ehluka	RelConc5_NStem	RelConc15_NStem	RelConc5_NStem	RelConc15_VRoot_VerbTerm
hlukanis_w_a	VRoot_PassExt_VerbTerm	VRoot_PassExt_VerbTerm	VRoot_PassExt_VerbTerm	VRoot_CausExt_PassExt_VerbTerm
kwa_e_ma_gama	PossConc15_NPrePre6_BPre6_NStem	PossConc15_NPrePre6_BPre6_NStem	PossConc15_NPrePre6_BPre6_NStem	PossConc15_NPrePre6_BPre6_NStem
e_ma_zinga	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
noma	Conj	Conj	Conj	Conj
