morphemes	target	prediction
ti_nyenti	AdjPref10_AdjStem	BPre8_AdjStem
tin_hlobo	BPre10_NStem	BPre10_NStem
ta_ku_lawul_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc8_LocPre_CopPre_CopPre_VerbTerm
kwe_m_klamo	PossConc15_NPre3_NStem	PossConc15_BPre3_NStem
leti_setjentis_w_a_ko	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	Dem10_SC6_CopPre_VerbTerm_PronStem15
ku_lo_m_khakha	LocPre_Dem3_BPre3_NStem	LocPre_PronStem5_BPre3_NStem
we_n_tfutfuko	PossConc9_BPre9_NStem	PossConc3_BPre9_NStem
.	Punc	Punc
loku	Dem15	Dem15
ku_vam_is_e	SC15_VRoot_CausExt_VerbTerm	LocPre_Conj_CausExt_VerbTerm
kwa_ehluka	PossConc15_NStem	PossConc15_NStem
ku_leti_n_hlobo	LocPre_Dem10_NPre10_NStem	LocPre_Dem10_BPre9_NStem
leti_setjentis_w_a	RelConc8_VRoot_PassExt_VerbTerm	Dem10_SC6_CopPre_VerbTerm
e_ma_bhizinisi_ini	NPrePre6_BPre6_NStem_LocSuf	VerbTerm_BPre6_NStem_LocSuf
.	Punc	Punc
nga_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem	AdvPre_VerbTerm_BPre9_NStem
i_Ningizimu	BPre5_ProperName	VerbTerm_ProperName
Afrika	ProperName	ProperName
i_ent_a	SC9_VRoot_VerbTerm	VerbTerm_Adv_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9
,	Punc	Punc
a_yi_na_n_dlela	RelConc6_CopPre_NegPre_BPre9_NStem	VerbTerm_CopPre_AdvPre_BPre9_NStem
le_yi_bek_ile	RelConc9_CopPre_VRoot_Perf	RelConc4_CopPre_NegPre_Perf
ye_um_khakha	PossConc9_NPre3_NStem	PossConc4_NPre3_NStem
wa_u_mu_mango	PossConc3_NPrePre3_BPre3_NStem	PossConc3_NPrePre1a_BPre3_NStem
le_s_e_zinga_ini	PossConc5_PreLoc-s_LocPre_NStem_LocSuf	RelConc4_PossConc7_VerbTerm_NStem_LocSuf
leli_tsite	RelConc5_RelStem	Dem5_RelStem
,	Punc	Punc
ngako_ke	Adv_Adv	NStem_Adv
ku_tawu_ba	SC15_Fut_AuxVStem	LocPre_Fut_AuxVStem
ne_ku_ehlukahluk_an_a	AdvPre_BPre15_VRoot_RecipExt_VerbTerm	Ideoph_LocPre_NStem_RecipExt_VerbTerm
e_m_khatsi_ini	LocPre_BPre3_NStem_LocSuf	VerbTerm_BPre3_Adv_LocSuf
kwe_tin_dlela	PossConc15_BPre10_NStem	PossConc15_BPre10_NStem
leti_setjentis_w_a_ko	RelConc8_VRoot_PassExt_VerbTerm_RelSuf	Dem10_SC6_CopPre_VerbTerm_PronStem15
ku_ma_tiko	LocPre_NPre6_NStem	LocPre_BPre6_NStem
la_hlukahluk_en_e	PossConc5_VRoot_RecipExt_VerbTerm	PossConc5_Num_RecipExt_VerbTerm
a_hulumende	RelConc6_NStem	VerbTerm_NStem
.	Punc	Punc
e_ma_lunga	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
e_<?unk?>	PossConc6_NStem	VerbTerm_NStem
le_wadi	PossConc5_NStem	RelConc4_NStem
ku_fanel_e	SC15_VRoot_VerbTerm	LocPre_Adv_VerbTerm
a_ku_jwayel_e	SC6_OC15_VRoot_VerbTerm	VerbTerm_LocPre_NStem_VerbTerm
ku_lawul_w_a	SC15_VRoot_PassExt_VerbTerm	LocPre_CopPre_CopPre_VerbTerm
kwe_m_klamo	PossConc15_NPre3_NStem	PossConc15_BPre3_NStem
we_m_jikeleto	PossConc3_BPre3_NStem	PossConc3_BPre3_NStem
(	Punc	Punc
<?unk?>	Abbr	NStem
)	Punc	Punc
<?unk?>_ba	AdvPre_AuxVStem	NStem_AuxVStem
ku_ngi_yo	AdvPre_CopPre_PronStem9	LocPre_CopPre_PronStem9
i_n_dlela	NPrePre9_BPre9_NStem	VerbTerm_BPre9_NStem
le_vam_is_e	RelConc9_VRoot_CausExt_VerbTerm	RelConc4_Conj_CausExt_VerbTerm
ku_setjentis_w_a	SC15_VRoot_PassExt_VerbTerm	LocPre_SC6_CopPre_VerbTerm
ka_khulu	AdvPre_AdjStem	AdvPre_AdjStem
.	Punc	Punc
loku_ehluka	RelConc5_NStem	Dem15_NStem
<?unk?>_w_a	VRoot_PassExt_VerbTerm	NStem_CopPre_VerbTerm
kwa_e_ma_gama	PossConc15_NPrePre6_BPre6_NStem	PossConc15_VerbTerm_BPre6_NStem
e_ma_zinga	NPrePre6_BPre6_NStem	VerbTerm_BPre6_NStem
noma	Conj	Conj
i_mi_khakha	NPrePre4_NPre4_NStem	VerbTerm_BPre4_NStem
ye_m_klamo	PossConc4_BPre3_NStem	PossConc4_BPre3_NStem
we_m_jikeleto	PossConc3_BPre3_NStem	PossConc3_BPre3_NStem
ku_nga_ehluk_a	SC15_AdvPre_VRoot_VerbTerm	LocPre_AdvPre_LocPre_VerbTerm
ku_y_e	SC15_VRoot_VerbTerm	LocPre_CopPre_VerbTerm
nga_m_chubisifundvo	AdvPre_BPre3_NStem	AdvPre_BPre3_NStem
lo_sekel_a	PossConc5_VRoot_VerbTerm	PronStem5_NStem_VerbTerm
nga_ti_mali	AdvPre_BPre10_NStem	AdvPre_BPre8_NStem
noma	Conj	Conj
nga_li_tiko	AdvPre_BPre5_NStem	AdvPre_BPre5_NStem
la_hulumende	PossConc5_NStem	PossConc5_NStem
.	Punc	Punc
ba_si_fazane	PossConc2_BPre7_NStem	AuxVStem_BPre7_NStem
ku_khona	SC15_Adv	LocPre_Conj
ti_<?unk?>	BPre8_NStem	BPre8_NStem
laba_hlangan_ile	RelConc2_VRoot_Perf	Dem2_NStem_Perf
na_to	AdvPre_PronStem10	AdvPre_PronStem10
na_ba_sa_hlanganyel_a	AdvPre_SC2_ProgPre_VRoot_VerbTerm	AdvPre_AuxVStem_PossConc7_PossConc9_VerbTerm
ku_le_mi_sebenti	LocPre_Dem4_BPre4_NStem	LocPre_RelConc4_BPre4_NStem
ye_lu_hlelo	PossConc4_NPre11_NStem	PossConc4_BPre11_NStem
?	Punc	Punc
bo_babe_ke	NPre2a_NStem_Adv	PronStem2_NStem_Adv
bo_na	PronStem2_PronSuf	PronStem2_AdvPre
?	Punc	Punc
na_ku_njalo	AdvPre_SC15_Adv	AdvPre_LocPre_Adv
,	Punc	Punc
be_ti_yini	AuxVStem_SC8_Interrog	AuxVStem_BPre8_Interrog
leto_ti_<?unk?>	Dem8_NPrePre8_NStem	Dem10_BPre8_NStem
?	Punc	Punc
i_Batho	NPre9_ProperName	VerbTerm_ProperName
Pele	ProperName	ProperName
i_dzing_a	SC4_VRoot_VerbTerm	VerbTerm_Num_VerbTerm
kutsi	Conj	Conj
wo_nkhe	QuantConc1_QuantStem	PronStem6_QuantStem
u_mu_ntfu	NPrePre1_BPre1_NStem	NPrePre1a_BPre3_NStem
