morphemes	target	prediction	morphemes_predseg	prediction_predseg
zin_ningi	AdjPref10_AdjStem	AdjPref10_AdjStem	zi_ningi	AdjPref10_AdjStem
i_zin_hlobo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_zin_hlobo	NPrePre10_BPre10_NStem
ezi_ehluk_an_il_e	RelConc10_VRoot_RecipExt_Perf_VerbTerm	RelConc10_VRoot_RecipExt_Perf_VerbTerm	ezi_ehluk_an_il_e	RelConc10_VRoot_RecipExt_Perf_VerbTerm
zo_ku_phath_w_a	PossConc10_BPre15_VRoot_PassExt_VerbTerm	PossConc10_BPre15_VRoot_PassExt_VerbTerm	za_u_ku_phath_w_a	PossConc10_NPrePre15_BPre15_VRoot_PassExt_VerbTerm
kwa_i_phrojekthi	PossConc15_NPrePre5_NStem	PossConc15_NPrePre5_NStem	kwa_i_phrojekthi	PossConc15_NPrePre5_NStem
ezi_sebenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	ezi_sebenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm
e_u_mu_khakha_ini	LocPre_NPrePre3_BPre3_NStem_LocSuf	LocPre_NPrePre3_BPre3_NStem_LocSuf	e_u_mu_khakha_ini	LocPre_NPrePre3_BPre3_NStem_LocSuf
we_ze_n_tuthuko	PossConc1_PossConc8_BPre9_NStem	PossConc1a_PossConc8_BPre9_NStem	we_ze_n_tuthuko	PossConc1a_PossConc8_BPre9_NStem
.	Punc	Punc	.	Punc
lezi	Dem10_Pos1	Dem10	lezi	Dem10
zi_vam_a	SC8_Intrans_VerbTerm	SC8_VRoot_VerbTerm	zi_vam_a	SC8_VRoot_VerbTerm
u_ku_ehluk_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_ehluk_a	NPrePre15_BPre15_VRoot_VerbTerm
kwa_ezin_nye	PossConc15_AdjPref8_AdjStem	PossConc15_AdjPref8_AdjStem	kwa_ezin_nye	PossConc15_AdjPref8_AdjStem
i_zin_dlela	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_zin_dlela	NPrePre10_BPre10_NStem
ezi_sebenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	ezi_sebenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm
e_u_mu_khakha_ini	LocPre_NPrePre3_BPre3_NStem_LocSuf	LocPre_NPrePre3_BPre3_NStem_LocSuf	e_u_mu_khakha_ini	LocPre_NPrePre3_BPre3_NStem_LocSuf
o_hlangane	BPre2a_NStem	RelConc3_Adv	o_hlangan_il_e	SC3_VRoot_Perf_VerbTerm
.	Punc	Punc	.	Punc
ku_mqondosizinda	BPre17_NStem	LocPre_NStem	ku_m_qondosizinda	LocPre_BPre3_NStem
(	Punc	Punc	(	Punc
context	Foreign	Foreign	conttext	Foreign
)	Punc	Punc	)	Punc
wa_s_e_i_li_Ningizimu	PossConc3_PreLoc-s_LocPre_NPrePre5_BPre5_ProperName	PossConc3_PreLoc-s_LocPre_NPrePre5_BPre5_ProperName	wa_s_e_ningizimu	PossConc3_PreLoc-s_LocPre_ProperName
Afrika	ProperName	ProperName	afrika	ProperName
a_yi_kho	NegPre_CopPre_Adv	NegPre_CopPre_Adv	a_yi_kho	NegPre_CopPre_Adv
i_n_dlela	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_dlela	NPrePre9_NPrePre9_NStem
e_yo_dwa	RelConc9_QuantConc9_QuantStem	RelConc9_QuantConc9_QuantStem	e_yo_dwa	RelConc9_QuantConc9_QuantStem
e_gunyaz_iw_e	RelConc9_VRoot_PassExt_VerbTerm	RelConc9_VRoot_PassExt_VerbTerm	e_gunyaz_iw_e	RelConc9_VRoot_PassExt_VerbTerm
ya_u_mu_khakha	PossConc9_NPrePre3_BPre3_NStem	PossConc9_NPrePre3_BPre3_NStem	ya_u_mu_khakha	PossConc9_NPrePre3_BPre3_NStem
wa_u_mu_phakathi	PossConc3_NPrePre3_BPre3_NStem	PossConc3_NPrePre3_BPre3_NStem	wa_u_mu_phakathi	PossConc3_NPrePre3_BPre3_NStem
futhi	Conj	Conj	futhi	Conj
ku_yo_hlal_a	SC15_Fut_VRoot_VerbTerm	SC15_Fut_VRoot_VerbTerm	ku_yo_hlal_a	SC15_Fut_VRoot_VerbTerm
ku_na_mehluko	LocPre_AdvPre_NStem	BPre17_AdvPre_NStem	ku_na_u_mehluko	BPre15_AdvPre_NPrePre1_NStem
phakathi	Adv	Adv	phakathi	Adv
kwa_i_zin_dlela	PossConc15_NPrePre10_BPre10_NStem	PossConc15_NPrePre10_BPre10_NStem	kwa_i_zin_dlela	PossConc15_NPrePre10_BPre10_NStem
ezi_sebenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm	RelConc8_VRoot_CausExt_PassExt_VerbTerm	ezi_sebenz_is_w_a	RelConc8_VRoot_CausExt_PassExt_VerbTerm
