morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
Ku_ne_mi_hlobo	LocPre_AdvPre_NPrePre4_BPre4_NStem	LocPre_AdvPre_BPre4_NStem	LocPre_AdvPre_NPrePre4_BPre4_NStem	LocPre_AdvPre_BPre4_NStem
e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf
y_e_lawulo	PossConc4_NStem	PossConc5_LocPre_NStem	PossConc4_NStem	PossConc5_LocPre_NStem
le_phrojekthi	Dem7_Pos1_NPrePre4_NStem	PossConc5_NStem	Dem7_Pos1_NPrePre4_NStem	NStem
e_korw_eni	LocPre_NStem_LocSuf	NPre6_NStem_LocSuf	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf
ye_zoku_thuthuk_is_a	PossConc9_Fut_VRoot_CausExt_VerbTerm	PossConc9_Fut_VRoot_CausExt_VerbTerm	PossConc9_Fut_VRoot_CausExt_VerbTerm	PossConc9_Fut_VRoot_CausExt_VerbTerm
.	Punc	Punc	Punc	Punc
Lokhu	Dem15_Pos1		Dem15_Pos1	
ku_vam_e	OC15_VRoot_VerbTerm	OC15_VRoot_VerbTerm	OC15_VRoot_VerbTerm	OC15_VRoot_VerbTerm
u_ku_hluk_a	NPrePre15_BPre15_NStem	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_NStem	NPrePre15_BPre15_VRoot_VerbTerm
e_mi_fuzis_elw_eni	LocPre_NStem_LocSuf	LocPre_BPre4_VRoot_PassExt_LocSuf	LocPre_NStem_LocSuf	LocPre_BPre4_NStem_VerbExt_LocSuf
e_setjenziswa	LocPre_NStem	LocPre_NStem	LocPre_NStem	LocPre_NStem
e_phas_ini	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf
le_ze_rhwebo	PossConc5_BPre8_NStem	PossConc5_BPre8_NStem	PossConc5_BPre8_NStem	PossConc5_Pres_NStem
.	Punc	Punc	Punc	Punc
E_bu_jam_eni	LocPre_BPre14_NStem_LocSuf	LocPre_BPre14_VRoot_LocSuf	LocPre_BPre14_NStem_LocSuf	LocPre_BPre14_VRoot_LocSuf
be_Sewula	PossConc2_NStem	PossConc2_NStem	PossConc2_NStem	PossConc2_NStem
Afrika	ProperName	ProperName	ProperName	ProperName
aku_na_mfuziselo	NegPre_AdvPre_NStem	NegPre_AdvPre_NStem	NegPre_AdvPre_NStem	NegPre_AdvPre_NStem
w_e_koro	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem
yo_m_buso	PossConc4_NPrePre3_BPre3_NStem	PossConc4_BPre3_NStem	PossConc4_NPrePre3_BPre3_NStem	PossConc4_BPre3_NStem
e_bek_w_e	SC6_VRoot_PassExt_VerbTerm	SC6_VRoot_PassExt_VerbTerm	SC6_VRoot_PassExt_VerbTerm	SC6_VRoot_PassExt_VerbTerm
e_bu_jam_eni	LocPre_SC14_VRoot_VerbTerm_LocSuf	RelConc9_BPre14_VRoot_LocSuf	LocPre_SC14_VRoot_VerbTerm_LocSuf	RelConc9_BPre14_NStem_LocSuf
obu_vunyelwe_ko	RelConc14_NStem	RelConc14_NStem_RelSuf	RelConc14_NStem	RelConc14_NStem_RelSuf
begodu	Conj	Conj	Conj	Conj
ku_zoku_b_a	SC15_Fut_AuxVStem	SC15_Fut_VRoot_VerbTerm	SC15_Fut_AuxVStem	SC15_Fut_VRoot_VerbTerm
no_mehluko	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem	AdvPre_NStem
ngi_tjho	SC1ps_VRoot_VerbTerm	NPrePre1_NStem	SC1ps_VRoot_VerbTerm	NPrePre1_NStem
na_hlangan_a	AdvPre_NStem_DimSuf	AdvPre_VRoot_VerbTerm	AdvPre_NStem_DimSuf	AdvPre_VRoot_VerbTerm
ne_mi_fuziselo	AdvPre_NPrePre4_BPre4_NStem	AdvPre_BPre4_NStem	AdvPre_NPrePre4_BPre4_NStem	AdvPre_BPre4_NStem
e_mi_nyangw_eni	LocPre_BPre4_NStem_LocSuf	LocPre_BPre4_NStem_LocSuf	LocPre_BPre4_NStem_LocSuf	LocPre_BPre6_NStem_LocSuf
e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf
ka_rhulumende	PossConc6_NStem	PossKA_NStem	PossConc6_NStem	PossConc4_NStem
.	Punc	Punc	Punc	Punc
