morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
Ku_kho	CopPre_Adv	CopPre_Adv	CopPre_Adv	CopPre_Adv
i_in_tlobo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem
ezi_ninzi	AdjPref8_AdjStem	AdjPref8_AdjStem	AdjPref8_AdjStem	AdjPref10_AdjStem
zo_lawulo	PossConc10_NPrePre11_BPre11_NStem	PossConc10_BPre11	PossConc10_NPrePre11_BPre11_NStem	PossConc10_BPre11
lwe_e_projekthi	PossConc11_NPrePre10_BPre10_NStem	PossConc11_NPrePre9_NStem	PossConc11_NPrePre10_BPre10_NStem	PossConc11_NPrePre9_NStem
ezi_setyenz_is_w_a_yo	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc8_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf
kw_i_candelo	LocPre_NPrePre5_BPre5_NStem	LocPre_NPrePre5_BPre5	LocPre_NPrePre5_BPre5_NStem	LocPre_NPrePre5_BPre5
lo_phuhliso	PossConc5_NPrePre11_BPre11_NStem	PossConc5_BPre11	PossConc5_NPrePre11_BPre11_NStem	PossConc11_BPre11
.	Punc	PUNC	Punc	PUNC
Ezi	Dem10_Pos1	CDEM10	Dem10_Pos1	CDEM10
n_tlobo	BPre9_NStem	BPre9_NStem	BPre9_NStem	BPre9_NStem
ke	Conj	Conj	Conj	Conj
zi_kholis_a	SC10_VRoot_VerbTerm	SC10_VRoot_VerbTerm	SC10_VRoot_VerbTerm	SC10_VRoot_VerbTerm
u_kw_ahluk_a	NPrePre15_SC15_Intrans_VerbTerm	NPrePre15_BPre15_Intrans_VerbTerm	NPrePre15_SC15_Intrans_VerbTerm	NPrePre15_BPre15_Intrans_VerbTerm
kw_ezo	PossConc15_Dem10_Pos2	LocPre_CDEM10	PossConc15_Dem10_Pos2	LocPre_CDEM10
zi_setyenz_is_w_a	SC10_VRoot_CausExt_PassExt_VerbTerm	SC10_VRoot_CausExt_PassExt_VerbTerm	SC10_VRoot_CausExt_PassExt_VerbTerm	SC10_VRoot_CausExt_PassExt_VerbTerm
ku_ma_candelo	LocPre_NPrePre6_BPre6_NStem	LocPre_BPre6_NStem	LocPre_NPrePre6_BPre6_NStem	LocPre_BPre6_NStem
o_shishino	PossConc6_NStem	RelConc6_BPre11	PossConc6_NStem	RelConc6_BPre11
.	Punc	PUNC	Punc	PUNC
