morphemes	target	prediction	target_canon	prediction_canon
ku_na_i_mi_hlobo	LocPre_AdvPre_NPrePre4_BPre4_NStem	LocPre_AdvPre_NPrePre4_BPre4_NStem	LocPre_AdvPre_NPrePre4_BPre4_NStem	LocPre_AdvPre_NPrePre4_BPre4_NStem
e_ya_hlukahlukene_ko	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf	LocPre_Pres_NStem_RelSuf
ye_lawulo	PossConc4_NStem	PossConc9_NStem	PossConc4_NStem	PossConc4_NStem
le_i_phrojekthi	Dem7_Pos1_NPrePre4_NStem	Pos1_NPrePre4	Dem7_Pos1_NPrePre4_NStem	Pos1_NPrePre4
e_koro_eni	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	NPre6_NStem_LocSuf
ye_zoku_thuthuk_is_a	PossConc9_Fut_VRoot_CausExt_VerbTerm	PossConc9_Fut_VRoot_CausExt_VerbTerm	PossConc9_Fut_VRoot_CausExt_VerbTerm	PossConc9_PossConc10_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
.	Punc	Punc	Punc	Punc
lokhu	Dem15_Pos1		Dem15_Pos1	
ku_vam_e	OC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	OC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm
u_ku_hluka	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem	NPrePre15_BPre15_NStem
e_mifuziselo_eni	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	LocPre_BPre4_NStem_LocSuf
e_setjenziswa	LocPre_NStem	LocPre_NStem	LocPre_NStem	LocPre_NStem
e_phas_ini	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf
le_ze_rhwebo	PossConc5_BPre8_NStem	PossConc5_PossConc8_NStem	PossConc5_BPre8_NStem	PossConc5_NPrePre8_BPre8_NStem
.	Punc	Punc	Punc	Punc
e_bu_jama_eni	LocPre_BPre14_NStem_LocSuf	LocPre_BPre14_NStem_LocSuf	LocPre_BPre14_NStem_LocSuf	LocPre_SC14_VRoot_VerbTerm_LocSuf
be_sewula	PossConc2_NStem	PossConc2_NStem	PossConc2_NStem	PossConc2_NStem
Afrika	ProperName	ProperName	ProperName	NStem
aku_na_mfuziselo	NegPre_AdvPre_NStem	NegPre_AdvPre_NStem	NegPre_AdvPre_NStem	NegPre_AdvPre_VRoot_CausExt_ApplExt_VerbTerm
w_e_koro	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem	PossConc6_LocPre_NStem
ya_u_mu_buso	PossConc4_NPrePre3_BPre3_NStem	PossConc4_NPrePre3_BPre3_NStem	PossConc4_NPrePre3_BPre3_NStem	PossConc4_NPrePre3_BPre3_NStem
